12-Jan-2017	GG444G	3	800	50	120	A	nick fish
12-Jan-2017	HH667D	2	1000	50	157	M	bob
12-Jan-2017	YY666G	3	800	60	113	A	greg
13-Jan-2017	FF555F	3	600	60	11337	A	j smith
13-Jan-2017	DD666D	2	700	60	11337	A	heidi
13-Jan-2017	TT555T	4	600	70	16070	A	bob
17-Jan-2017	TT666T	3	600	60	11337	A	bob
17-Jan-2017	GG888G	4	700	50	18079	A	greg
17-Jan-2017	FD555D	2	700	60	11337	A	greg
17-Jan-2017	ll000l	4	600	50	18079	A	lol
17-Jan-2017	GG777T	3	600	66	11337	A	bob
17-Jan-2017	FF888F	4	700	40	19083	A	heidi
17-Jan-2017	HH777F	4	60	50	14570	A	heidi
17-Jan-2017	LO876G	3	700	30	13338	A	nick
19-Oct-2017	FF444F	4	356	45	1424	M	fff
